method,path,controller,action
GET,/404_override,'errors,page_missing'
GET,/default_controller,admin.'/Login,index'
GET,/admin-login,admin.'/Login,index'
GET,/admin-logout,admin.'/Login,logout'
GET,/permission-denied,admin.'/Permission,index'
GET,/admin-dashboard,admin.'/Dashboard,index'
GET,/list-country,admin.'/Masters,countryList'
GET,/list-country-ajax,admin.'/Masters,getCountryLists'
GET,/save-country,admin.'/Masters,saveCountry'
GET,/edit-country/{param},admin.'/Masters/viewAddEditForm,$1'
GET,/delete-country/{param},admin.'/Masters/deleteCountry,$1'
GET,/check-duplicate-country,admin.'/Masters,CheckDuplicateCountry'
GET,/list-state,admin.'/Masters,view_state'
GET,/submit_state,admin.'/Masters,submit_state'
GET,/list_state_ajax,admin.'/Masters,list_state_ajax'
GET,/check_duplicate_state,admin.'/Masters,check_duplicate_state'
GET,/delete_state,admin.'/Masters,delete_state'
GET,/list-city,admin.'/Masters,view_cities'
GET,/submit_cities,admin.'/Masters,submit_cities'
GET,/list_cities_ajax,admin.'/Masters,list_cities_ajax'
GET,/check_duplicate_cities,admin.'/Masters,check_duplicate_cities'
GET,/delete_cities,admin.'/Masters,delete_cities'
GET,/list-employment-type,admin.'/Masters,view_employment_type'
GET,/submit_employment_type,admin.'/Masters,submit_employment_type'
GET,/list_employment_type_ajax,admin.'/Masters,list_employment_type_ajax'
GET,/check_duplicate_employment_type,admin.'/Masters,check_duplicate_employment_type'
GET,/delete_employment_type,admin.'/Masters,delete_employment_type'
GET,/list-interests,admin.'/Masters,view_interests'
GET,/submit_interest,admin.'/Masters,submit_interest'
GET,/list_interest_ajax,admin.'/Masters,list_interest_ajax'
GET,/check_duplicate_interest,admin.'/Masters,check_duplicate_interest'
GET,/delete_interest,admin.'/Masters,delete_interest'
GET,/list-job-type,admin.'/Masters,view_job_type'
GET,/submit_job_type,admin.'/Masters,submit_job_type'
GET,/list_job_type_ajax,admin.'/Masters,list_job_type_ajax'
GET,/check_duplicate_job_type,admin.'/Masters,check_duplicate_job_type'
GET,/delete_job_type,admin.'/Masters,delete_job_type'
GET,/list-pay,admin.'/Masters,view_pay'
GET,/submit_pay,admin.'/Masters,submit_pay'
GET,/list_pay_ajax,admin.'/Masters,list_pay_ajax'
GET,/check_duplicate_pay,admin.'/Masters,check_duplicate_pay'
GET,/delete_pay,admin.'/Masters,delete_pay'
GET,/list-event-mode,admin.'/Masters,view_event_mode'
GET,/submit_event_mode,admin.'/Masters,submit_event_mode'
