method,path,name,folder
POST,/{{api-url}}Api-Send-Otp,Api-Send-Otp,
POST,/{{api-url}}Api-Verify-Otp,Api-Verify-Otp,
POST,/{{api-url}}Api-Logout,Api-Logout,
GET,/hrms/api/leaattendanceve/attendance_type,Api-Country-List,
GET,/{{api-url}}Api-State-List?user_id=4d513d3d&token=ab13ed462ce71db55a56a2f5c0685541&country_id=101,Api-State-List,
GET,/{{api-url}}Api-City-List?user_id=4d513d3d&token=ab13ed462ce71db55a56a2f5c0685541&state_id=17,Api-City-List,
GET,/{{api-url}}Api-Interests-List?user_id=4d513d3d&token=ab13ed462ce71db55a56a2f5c0685541,Api-Interests-List,
GET,/{{api-url}}Api-Employment-Type-List?user_id=4d513d3d&token=ab13ed462ce71db55a56a2f5c0685541,Api-Employment-Type-List,
GET,/{{api-url}}Api-Job-Type-List?user_id=4d513d3d&token=ab13ed462ce71db55a56a2f5c0685541,Api-Job-Type-List,
GET,/{{api-url}}Api-Pay-List?user_id=4d513d3d&token=ab13ed462ce71db55a56a2f5c0685541,Api-Pay-List,
GET,/{{api-url}}Api-Event-Mode-List?user_id=4d513d3d&token=ab13ed462ce71db55a56a2f5c0685541,Api-Event-Mode-List,
GET,/{{api-url}}Api-Event-Type-List?user_id=4d513d3d&token=ab13ed462ce71db55a56a2f5c0685541,Api-Event-Type-List,
GET,/{{api-url}}Api-View-Profile?user_id=4e673d3d&token=e53bc3f9d6ef3f7e5b6943d0c3b526f1,Api-View-Profile,
POST,/{{api-url}}Api-Update-Profile,Api-Update-Profile,
POST,/{{api-url}}Api-Save-Job-Information,Api-Save-Job-Information,
GET,/{{api-url}}Api-View-Job-Information?user_id=4d513d3d&token=3b61d959b56a5d93f7fc83e1b5da8b8e&keyword=caption&job_type=Accountant&skill=flutter&location=Punjab&pay=75000,Api-View-Job-Information,
POST,/{{api-url}}Api-Save-Event-Information?user_id=4e673d3d&token=e53bc3f9d6ef3f7e5b6943d0c3b526f1,Api-Save-Event-Information,
GET,/{{api-url}}Api-View-Event-Information?user_id=4d513d3d&token=3b61d959b56a5d93f7fc83e1b5da8b8e,Api-View-Event-Information,
GET,/{{api-url}}Api-View-Event-Details?user_id=4d513d3d&token=3b61d959b56a5d93f7fc83e1b5da8b8e&event_id=33,Api-View-Event-Details,
GET,/{{api-url}}Api-View-Resumes?user_id=4d513d3d&token=ab13ed462ce71db55a56a2f5c0685541,Api-View-Resumes,
GET,/{{api-url}}Api-View-Job-Details?user_id=4d513d3d&token=3b61d959b56a5d93f7fc83e1b5da8b8e&job_id=9,Api-View-Job-Details,
GET,/{{api-url}}Api-View-User-Detail-By-Mobile?user_id=4e673d3d&token=e53bc3f9d6ef3f7e5b6943d0c3b526f1&mobile_no=923078775479,Api-View-User-Detail-By-Mobile,
GET,/{{api-url}}Api-View-Profile-By-Mobile?user_id=4e673d3d&token=e53bc3f9d6ef3f7e5b6943d0c3b526f1&mobile_no=923016805577,Api-View-Profile-By-Mobile,
POST,/{{api-url}}Api-Save-Work-Details,Api-Save-Work-Details,
GET,/{{api-url}}Api-View-Work-Details?user_id=4d513d3d&token=ab13ed462ce71db55a56a2f5c0685541,Api-View-Work-Details,
POST,/{{api-url}}Api-Delete-Work-Detail,Api-Delete-Work-Detail,
POST,/{{api-url}}Api-Save-Project-Details,Api-Save-Project-Details,
GET,/{{api-url}}Api-View-Project-Details?user_id=4d513d3d&token=ab13ed462ce71db55a56a2f5c0685541,Api-View-Project-Details,
POST,/{{api-url}}Api-Delete-Project-Detail,Api-Delete-Project-Detail,
POST,/{{api-url}}Api-Save-Education-Details,Api-Save-Education-Details,
GET,/{{api-url}}Api-View-Education-Details?user_id=4d513d3d&token=ab13ed462ce71db55a56a2f5c0685541,Api-View-Education-Details,
POST,/{{api-url}}Api-Delete-Education-Detail,Api-Delete-Education-Detail,
POST,/{{api-url}}Api-Save-Event-Organiser,Api-Save-Event-Organiser,
GET,/{{api-url}}Api-Event-Organisers-List?user_id=4e673d3d&token=0d39cbf7387ac005f59a799f544ed80c&event_id=33,Api-Event-Organisers-List,
POST,/{{api-url}}Api-Delete-Event-Organiser,Api-Delete-Event-Organiser,
GET,/{{api-url}}Api-Event-Attendees-List?user_id=4e673d3d&token=0d39cbf7387ac005f59a799f544ed80c&event_id=1,Api-Event-Attendees-List,
POST,/{{api-url}}Api-Save-Event-Attendee,Api-Save-Event-Attendee,
POST,/{{api-url}}Api-Delete-Event-Attendee,Api-Delete-Event-Attendee,
POST,/{{api-url}}Api-Delete-Resume,Api-Delete-Resume,
GET,/{{api-url}}Api-Dashboard?user_id=4d513d3d&token=3b61d959b56a5d93f7fc83e1b5da8b8e&location=pakistan&lat=29.8995282&long=69.5246342&limit=0&filter_type=tomorrow,Api-Dashboard,
GET,/{{api-url}}Api-Legal-Terms?user_id=4d513d3d&token=ab13ed462ce71db55a56a2f5c0685541,Api-Legal-Terms,
POST,/{{api-url}}Api-Apply-Job,Api-Apply-Job,
GET,/{{api-url}}Api-Folders-List-By-Type?user_id=4e673d3d&token=e53bc3f9d6ef3f7e5b6943d0c3b526f1&type=network,Api-Folders-List-By-Type,
POST,/{{api-url}}Api-Add-Folder-By-Type,Api-Add-Folder-By-Type,
GET,/{{api-url}}Api-Sub-Folders-List?user_id=4e673d3d&token=e53bc3f9d6ef3f7e5b6943d0c3b526f1&user_folder_id=22,Api-Sub-Folders-List,
POST,/{{api-url}}Api-Add-Sub-Folder,Api-Add-Sub-Folder,
GET,/{{api-url}}Api-View-User-Detail-By-Qrcode?user_id=4e673d3d&token=0d39cbf7387ac005f59a799f544ed80c&contact_token=da8c6d5f90f52c68fb3b80fd4a4cb862,Api-View-User-Detail-By-Qrcode,
GET,/{{api-url}}Api-Contacts-List?user_id=4d513d3d&token=ab13ed462ce71db55a56a2f5c0685541&user_folder_id=8&user_sub_folder_id=1,Api-Contacts-List,
POST,/{{api-url}}Api-Add-Contact,Api-Add-Contact,
POST,/{{api-url}}Api-Add-Contact-Visiting-Card,Api-Add-Contact-Visiting-Card,
POST,/{{api-url}}Api-Activate-Card,Api-Activate-Card,
GET,/{{api-url}}Api-Promotions-List?user_id=4d513d3d&token=ab13ed462ce71db55a56a2f5c0685541,Api-Promotions-List,
GET,/{{api-url}}Api-Service-Master-List?user_id=4d513d3d&token=ab13ed462ce71db55a56a2f5c0685541,Api-Service-Master-List,
GET,/{{api-url}}Api-Services-List?user_id=4d513d3d&token=ab13ed462ce71db55a56a2f5c0685541,Api-Services-List,
POST,/{{api-url}}Api-Save-Service-Provider,Api-Save-Service-Provider,
POST,/{{api-url}}Api-Add-Review-Rating,Api-Add-Review-Rating,
POST,/{{api-url}}Api-Save-Service-Details,Api-Save-Service-Details,
GET,/{{api-url}}Api-View-Business-Card?user_id=4e673d3d&token=e53bc3f9d6ef3f7e5b6943d0c3b526f1&,Api-View-Business-Card,
GET,/{{api-url}}Api-View-Contact-Visiting-Card?user_id=4d513d3d&token=3b61d959b56a5d93f7fc83e1b5da8b8e&user_sub_folder_id=1,Api-View-Contact-Visiting-Card,
POST,/Api-Verify-Otp,Api-Verify-Otp,
GET,/{{api-url}}Api-All-Services-List?user_id=4d513d3d&token=ab13ed462ce71db55a56a2f5c0685541&service_id=1,Api-All-Services-List,
GET,/{{api-url}}Api-View-Service-Details?user_id=4d513d3d&token=cb28a886fa1802bb98441a69d0566909&usps_id=14,Api-View-Service-Details,
GET,/{{api-url}}Api-Service-Unlock?user_id=4d513d3d&token=ab13ed462ce71db55a56a2f5c0685541&sp_id=3&service_id=1,Api-Service-Unlock,
GET,/{{api-url}}Api-All-Service-Unlock-List?user_id=4d513d3d&token=3b61d959b56a5d93f7fc83e1b5da8b8e&filter_date=2024-11-09,Api-All-Service-Unlock-List,
GET,/{{api-url}}Api-View-Events-Attended?user_id=4d513d3d&token=3b61d959b56a5d93f7fc83e1b5da8b8e,Api-View-Events-Attended,
GET,/{{api-url}}Api-View-Events-Organised?user_id=4d513d3d&token=3b61d959b56a5d93f7fc83e1b5da8b8e,Api-View-Events-Organised,
GET,/{{api-url}}Api-Fund-Size-List?user_id=4e673d3d&token=e53bc3f9d6ef3f7e5b6943d0c3b526f1,Api-Fund-Size-List,
POST,/{{api-url}}Api-Save-Investor,Api-Save-Investor,
GET,/{{api-url}}Api-View-Investor-Details?user_id=4d513d3d&token=cb28a886fa1802bb98441a69d0566909&investor_id=4,Api-View-Investor-Details,
GET,/{{api-url}}Api-All-Investors-List?user_id=4d513d3d&token=3b61d959b56a5d93f7fc83e1b5da8b8e,Api-All-Investors-List,
POST,/{{api-url}}Api-Save-Chat,Api-Save-Chat,
GET,/{{api-url}}Api-View-Chat?user_id=4e673d3d&token=e53bc3f9d6ef3f7e5b6943d0c3b526f1&current_user_id=1,Api-View-Chat,
GET,/{{api-url}}Api-Chat-Users-List?user_id=4e673d3d&token=e53bc3f9d6ef3f7e5b6943d0c3b526f1,Api-Chat-Users-List,
GET,/{{api-url}}Api-Investor-Unlock?user_id=4d513d3d&token=3b61d959b56a5d93f7fc83e1b5da8b8e&investor_id=5&meeting_id=2&meeting_date=2024-12-31&meeting_time=10:00:00,Api-Investor-Unlock,
POST,/{{api-url}}Api-Add-Investor-Review-Rating,Api-Add-Investor-Review-Rating,
GET,/{{api-url}}Api-My-Investor-Profile?user_id=4d513d3d&token=3b61d959b56a5d93f7fc83e1b5da8b8e,Api-My-Investor-Profile,
GET,/{{api-url}}Api-My-Investor-Meets?user_id=4d513d3d&token=3b61d959b56a5d93f7fc83e1b5da8b8e&filter_type=pending,Api-My-Investor-Meets,
GET,/{{api-url}}Api-Investor-Desk?user_id=4d54633d&token=bcd7c63400b0c805467d1527a9bce365&filter_type=completed,Api-Investor-Desk,
POST,/wa/api/v1/msg,https://api.gupshup.io/wa/api/v1/msg,
POST,/partner/account/login,https://partner.gupshup.io/partner/account/login,
GET,/records,https://anxiety-depression1.p.rapidapi.com/records?orderBy=dataListIndex_asc&index=0&limit=500,
GET,/dataListIndex,https://medicare-claims-data.p.rapidapi.com/dataListIndex?index=0&limit=500&orderBy=asc&value=0,
GET,/fhir/4.0/HealthcareService,https://developer-solution/fhir/4.0/HealthcareService?specialty=http://snomed.info/sctCode%7C408467006,
